"Great spot to enjoy a beer and burger and hang out for a bit.  I came with a friend on a weekday evening in the summer, not too busy in the early evening, we had the outdoor area to ourselves.Good beer selection.  The food was very tasty and very reasonably priced.  The service was excellent, very friendly and prompt.  Great find.",5.0
"Nice place to get lunch with their $3PBR. Out door area could use a little organization but looks like it could be cozy at nite. The manager/chef notreally sure, was  quite pleasant and seems to enjoy what he does.Place only takes cash.",4.0
"Came to this local dive bar in red hook for a birthday party. The drinks are cheap ($5 for a pbr and shot), the vibe is friendly, and they have a free jar of candy! I ate way too many starburst and nerds. The seats are really springy and lumpy though - like an old unattended car seat that your dad took out of your childhood family minivan and forgot about in the garage. It's not often that I go to a bar and prefer to stand.",4.0
"Well-Being is a pulled pork sanwich. And tell me, folks what's much better than a menu with a pulled pork sandwich as well as features corn dogs and chips?!! Both were dee-lish. Not to mention the onion rings. Oh, I am going back all right! Next time instead of one sandwich, I am going with the waiter's recommendation of two. Take that, skeletal biatches! A complimentary picture of Jameson rounded out the meal perfectly.",4.0
Amazing food - had the pulled pork sandwich (1 for $4 and 2 for $6) and sweet potato fries ($5) and it was amazing - you need to try them.,5.0
"Even if Brooklyn Ice House didn't have such a big, beautiful back patio, I would still love it here. Because it is the best kind of dive bar. I hate dive bars where the bartenders try to be rabble-rousers and cheerleaders, cussing and cursing for no reason, posing, causing silly spectacles. This isn't that kind of place. They don't bother you, or speak down to you, yet they also do not ignore you. If you want something, just go to the bar and ask, easy simple uncomplicated, perfect. You can choose your own music at the juke box, and they never skip your track because it doesn't fit their mood, they let everyone's choices play, at a volume that is fun but doesn't drown conversation. And then there are the amazingly affordable beer & shot combinations! A few rounds of FIESTA (can of Tecate, shot of Tequila) is basically a dream come true when paired with their Pulled Pork Sliders ($6 for two) and their Chili Cheese Fries ($6 for a portion big enough to share).",5.0
"Well-Being is a pulled pork sanwich. And tell me, folks what's much better than a menu with a pulled pork sandwich as well as features corn dogs and chips?!! Both were dee-lish. Not to mention the onion rings. Oh, I am going back all right! Next time instead of one sandwich, I am going with the waiter's recommendation of two. Take that, skeletal biatches! A complimentary picture of Jameson rounded out the meal perfectly.",4.0
"I really wanted to review this place!!! I just bought a bike and decided to ride it from Williamsburg to Red Hook !! Once arrive in Red Hook I was very thirsty. I checked on Yelp and find this place with only 1 $ sign. I was like "" perfect a cheap place, I just want a fresh beer"" I was very surprise with the very cool backyard. Staff is cool and finally I order some food! I was just impressed with the price of everything and then you realize that you are paying way too much in other places. Before I left I was happy to leave a good tip! WILL DEFINITELY COME BACK",5.0
"I mean I'm not sure why they have a high rating. I went there after being around the redhook area. The staff is really sweet, funny, and helpful. Just great.Things to know:1. Its a bar, not a restaurant. The inside is very dark and cozy.2. Don't go there to eat. I had there burger and fries and it was just way to oily and not a good quality burger. Definitely not worth it. 3. Its a nice place to hang out if you want to sit in there outdoor seating area and have a beer or a drink and some conversation. 4. Its a very ""chill"" spot and secluded. The inside gives you this ""divey bar"" feel while the outside has wooden benches and tables and a large canopy covering the center table.Wouldn't return for food. Would return just for a beer maybe not even that but definitely a good place to know.",2.0
"First off - we kinda jus dropped in on a Saturday night. We were in the area because we just came from a tour of Van Brunt Stillhouse Whiskey Distillery.They weren't packed, but we were a group of 16, and they don't take reservations - but without hesitation they met the challenge and did extremely well.The waiter built us a fire out back (April night - 40 degrees!), and he proceeded to take our orders. Everything was delicious (It's bar food, but you can tell they put love and care into it)...and it came out in record time. The bartender was amazing as well (Highly recommend the Moscow Mule), she even came out to tell us ghost stories around the fire!...and what really melted my heart was the Chef. After busting out orders for 16 people, he came out to say hi, see how everything was, and after over hearing me say I wish we had marshmallows...HE BROUGHT OUT A BOWL OF MARSHMALLOWS FOR US TO SHARE.I mean, I am not use to this is level of service and hospitality growing up in NYC. I am not use to even having a fire anywhere in NYC lol Even before we left, we all agreed how awesome it was, and that we would be back. All this, and the prices were very affordable. They deserve much praise for helping me pull off a memorable night for everyone. We will be back (possibly with more people, but I will call first haha)",5.0
Great bar and bar food. I loved the simple pulled pork sandwich. There was so much meat. I got a special - corn dog! So good. The Pilsner on tap was refreshing on a hot summer day. We also tried the frito pie which was like nachos but better. The wings were also great. It was super cheap too!Our waitress was really nice to us. She forgot our frito pie so she gave it to us for free. Very good service.I'm definitely going back here.,4.0
"We went here yesterday for 4th of July! And we were bot disappointed! We basically had 1 of everything because the menu is just too good! The corndogs, sweet potato fries and onion rings are fucking bomb!! Soo delish! They also give you this chipotle mayo dipping sauce which is really yummy too. We got the hot wings and the bbq wings and they were juicy and the sauce was great! The pulled pork sliders were goood too, but you have to eat them fast or they'll get hella soggy!There's no waiter service, but the bar was free and the bartender was really nice. The food came out fast and the vibe of the place is really chill. (Plus they had independence day playing on the TV : sold!)",5.0
"We stopped by before visiting Red Hook Lobster, then had to come back for some food.  The prices were amazing and food was much better than typical bar food.  We were in the middle of College football Saturday and it was amazing seeing how many families had kids in the bar, how great is that?!  We thought it was very charming that the bar had such a welcoming environment where parents don't feel threatened and can bring their children with them for lunch.  Brooklyn Ice House also has a great backyard that can be a beer garden during the summer.  Sadly for us, on the day we came, it was cloudy and drizzling. We ordered several beers along with the wings and pulled pork sliders, since that was all the rave on Yelp.  The wings were much better than expected, but the sliders were not.  Given some hot sauce and bbq sauce, the sliders stepped up.  This is a great bar to hang out and have some drinks if you're in this neighborhood.  People are nice, food is cheap, and drinks are affordable.",5.0
"Wonderful neighborhood bar with some nice food and a great shot and a beer combination,.. There is a lovely backyard that is super comfortable.. The staff is super friendly and just good folk... It's always our home base when we hang out in Red Hook..",5.0
"First things first.  Their Happy Hour is 12-8pm. I wasn't sure exactly what their Happy Hour really entails because it isn't listed on the outside stand alone display board nor is it listed on the chalkboards behind where the bartenders work.   What IS listed are the beers they serve, where they are from, and prices.  Next to the 2 boards that are displaying the beers comes the board for the food.  The food is mostly small items like sliders (pork), fries, etc.  The sliders are 1 for $3 or 2 for $5.  They were decent and nothing really to rave about but even so they beat a lot of other dive bars that serve food.  The grill is conveniently located just on the other side of the wall where the food menu is hung and you can watch the cook make the food for you if you like.However,  the space is normal sized for a dive bar.  It can get crowded rather quickly especially around the bar area resulting in a traffic jam or sorts trying to get to the sit down tables which seats around 10 people comfortably that faces the bar.  There is 1 pinball machine and 1 shooting game that was probably hot in the 90's but it gives you this sense of the grunge upfront.  There is a backyard patio that has a large tent like awning that has communal wooden tables and benches that fits around 12 people as well as outer corner tables that can fit 4 people per section AND the 2 communal bench tables just as you open the door leading to the backyard in the first place.  That fits 4 people comfortably on each setting.Most people that eat in the backyard just leave the garbage there which is pretty much the beer glasses and plastic treys that the food come in but as always you should just bring it back to the bar to save the bartender(s) the trouble of having to come back here stopping the pour of beers to clear your shyt.That is simply a no-no and I'm sure they'd appreciate it as well.This bar is located on the most busiest street of Red Hook which is easily accessible by car or bus.  Not so much subway as that would mean you'd either have to transfer to the bus or walk a good 10 long blocks to get here.I made the foolish mistake of doing so on the way back and I will tell you this, the dogs be sore.This is a no frills all attitude type of bar, in a good way.  I'd definitely come back for more beer and food if I'm in the area.",4.0
"The definition of hipster dive bar. Crazy cheap beer and a shot specials; so cheap I'm not sure how they make a profit. The food here is unusually amazing for a dive bar. Seriously get a bacon cheeseburger here and tell me if it's not one of the best you've ever had. It was one of the few businesses open after Sandy, and as such wax a big part of keeping me and the citizens of Red Hook sane and warm. For being there for me when I was literally homeless and hungry, this place will always have my patronage. A toast! To the one true bar in Red Hook!",5.0
No nonsense bar with tasty and inexpensive BBQ deals. Great bottled beer selection at reasonable prices. Do I need to continue?Went with a friend in town. We each had the 2/$5 pulled pork and shared onion rings and a frito pie. BBQ sauce is good. Slather it on the pork. Everything was tasty and an amazing deal. I'll definitely be going back.,5.0
"How convenient that as soon as the weekly yelp showcased the Brooklyn Ice House, I just happened to be in Red Hook!  I had, had had to check it out.  I'm sorry to disappoint but I didn't go in a drunk induced state.  I merely went in after work to get a midday snack of bbq wings and to get a burger for my hubby.  The smell of burgers hot on the grill hit me like a ton of good bricks!!  Although the food took a little longer than I expected, it was worth the wait.  The wings were extra crispy with just the right amount of sauce.  Hubby enjoyed the burger as well.I was hugely impressed by the beer list and made a note to take some of my drinking friends here when they come to NYC and want a ""locals"" tour.",4.0
"This place is AMAZING.. But don't get any ideas I will totally fight you for a table here :) Came here after hometown BBQ was running out of food. It was my parents, cousin, brother and grandmother... Yes I said my grandmother :) that lady can hang for an 85 year old!We grabbed a table and checked out the menu. The menu is on a blackboard on the side of the bar. We ordered a bunch of things... Kale salad, with pepitas, blue cheese and cranberries, it was pretty delicious ! We had 6 pulled pork sandwiches/ it was 2/5 seriously... They were a bit dry but with a bit of BBQ or hot sauce... Amazing!!! We had the Frito pie, holy heart attack it was phenomenal and we wished we ordered more than one!! We had two orders of onion rings, sweet potato fries and three orders of wings... Lastly, oh yes there is more!!! We had a fish and chips, they were awesome.. I tried a lemonade with sweet tea cocktail, my cousin had a gin concoction both were delicious and then we had a few beers.. Now, all of this including the tip was 121 dollars and we gave a 20 percent tip. 121 dollars?!?!?! How amazing is that!!! My dad was so excited by this, he wants to come weekly.. But the best part is... THEY HAVE JENGA!!!! Along with other games but I love JENGA :) Will undoubtedly be returning... Very soon!",5.0
"Pros:-Yes, it is a ""junky funky"" Red Hook bar with an industrial outdoor backyard, secluded between buildings (this is a good thing, because how else would you know that you've landed in Red Hook were it not for the bohemian nature of this bar).- Because of the secluded nature of Ice House, it's a perfect place to have a real conversation. You can even tell secrets here. I would do the secrets telling outdoors, weather permitting.- The staff are friendly, attentive, and at the same time, laid back. - It serves bar (pub) food.  Bring an appetite appropriate for bar food, not massive portions, unless you are going to order 1,000 of everything. Pork sliders seem to be popular here at 2 for $5 (I arrived after the kitchen closed, so I cannot review these). The kitchen is a bar kitchen. You can fully view it on your way to the backyard.Cons: - None. Except if you are looking for a high-fuss place where you need to be seen, this is not your place.",4.0
Great bar and bar food. I loved the simple pulled pork sandwich. There was so much meat. I got a special - corn dog! So good. The Pilsner on tap was refreshing on a hot summer day. We also tried the frito pie which was like nachos but better. The wings were also great. It was super cheap too!Our waitress was really nice to us. She forgot our frito pie so she gave it to us for free. Very good service.I'm definitely going back here.,4.0
"We went here yesterday for 4th of July! And we were bot disappointed! We basically had 1 of everything because the menu is just too good! The corndogs, sweet potato fries and onion rings are fucking bomb!! Soo delish! They also give you this chipotle mayo dipping sauce which is really yummy too. We got the hot wings and the bbq wings and they were juicy and the sauce was great! The pulled pork sliders were goood too, but you have to eat them fast or they'll get hella soggy!There's no waiter service, but the bar was free and the bartender was really nice. The food came out fast and the vibe of the place is really chill. (Plus they had independence day playing on the TV : sold!)",5.0
"We stopped by before visiting Red Hook Lobster, then had to come back for some food.  The prices were amazing and food was much better than typical bar food.  We were in the middle of College football Saturday and it was amazing seeing how many families had kids in the bar, how great is that?!  We thought it was very charming that the bar had such a welcoming environment where parents don't feel threatened and can bring their children with them for lunch.  Brooklyn Ice House also has a great backyard that can be a beer garden during the summer.  Sadly for us, on the day we came, it was cloudy and drizzling. We ordered several beers along with the wings and pulled pork sliders, since that was all the rave on Yelp.  The wings were much better than expected, but the sliders were not.  Given some hot sauce and bbq sauce, the sliders stepped up.  This is a great bar to hang out and have some drinks if you're in this neighborhood.  People are nice, food is cheap, and drinks are affordable.",5.0
"Wonderful neighborhood bar with some nice food and a great shot and a beer combination,.. There is a lovely backyard that is super comfortable.. The staff is super friendly and just good folk... It's always our home base when we hang out in Red Hook..",5.0
