"Really enjoyed my meal here with some friends. Took a reservation which they said they don't always do around prime dinner times. We had their parpadelle which was excellent! Tender duck and sauce was great. Also had their butternut squash app  which was good too. We had the paella, a little salty and oily for my taste. Scallops which were cooked nicely but there are so little of it. The duck and short ribs were really good! They also give you little little tastings in between courses which is really cute and much appreciated.",4.0
"My business partner and I used to adore battersby and wanted to try Dover. I was at first a bit stunned by the size as I had imagined it to be another quaint place. It's quite large compared to the sister spot. It was a slow night - there were maybe three other tables in the dining area. We got the tasting menu. I have allergies and described them to the server. It seems that didnt always make it back to the kitchen. They kept sending things I could not eat. Normally I dont mind, but with so few people and such reputation, I was a bit surprised. The menu felt very on trend with every current small brooklyn restaurant. I had hoped for a bit more invention. Unfortunately will not be back.",2.0
"We stumbled upon Dover at the tail end of summer for a Sunday morning revival brunch after a long Saturday night and it really hit the nail on the head. The quaint menu, attention to delicate detail (for a meal that is typically overlooked in culinary art....breakfast), and ambiance that made us feel like we were in a cozy local eatery in Vienna. After a return trip for dinner this past week, I think we'll be sticking to brunch.Dover succeeded at their 'compliments of the chef' menu, serving up an exclusive butternut squash soup with whipped cream, homemade banana bread, and other small dishes to tease the palate throughout our meal. Their breads were to die for and my entrè of Squid ink tagliatelle with peekytoe crab would've made for an excellent appetizer. After finishing some oysters, a few chef add-ons, some bread and my entrè, I found myself leaving Dover looking for a large pizza. It's not the place to go if you want to leave full and fully satisfied in both your stomach and wallet. For the price, I couldn't justify the portion size and left Dover wanting a quite bit more.Dover has my heart for exceptional service and top notch attention to detail on both food and cocktails (my Old Fashioned was on point!), but for all of the options that Court Street offers for exceptional values on dinner, I'll leave this one for Sunday morning mimosas.",3.0
"My boyfriend and I came here for brunch on my birthday, and I wish I could give Dover 6 stars - that's how phenomenal the whole experience was. First of all, I loved that I could make a reservation. There is nothing like having the assurance that you will absolutely not have to wait to ease the brunch hanger (hungry anger). The staff was fantastic - I was so thirsty, I thought they'd never be able to quench my thirst with enough water but lo and behold, the attentive server refilled my class at every gulp and I was satiated. We each ordered a bloody mary. I hate when bloodies are pale red and you know it's going to be so watery - these were the opposite of that, a dark red-brown that signaled their intense flavor. The coffee was also great. Foodwise, I ordered the egg avocado sandwich and the pecan cinnamon bun and my boyfriend went with the croque Madame and a side of crispy potatoes. My only regret is that I wished I'd went with the croque Madame as well, which was truly superb, cooked perfectly. I wish the menu had explained that the eggs were hard-boiled - the sandwich was still great, and I ate every bite, but personally I'm not a hard-boiled egg person and it would have been nice to have that flagged. In any case, not a reason to hate on Dover, since it was a very well-executed sandwich. The pecan bun was sweet and fluffy and the potatoes were crunchy and savory. It was a pricey brunch, to be sure, but the experience more than lived up to the price tag.",5.0
"I am from out of town and came at the request of some great friends who are local to the neighborhood. We came for a few drinks to start the night and wow was I impressed! The three of us sat at the bar. We ordered a bourbon drink that tasted like salted caramel (the name escapes me) and a drink the bartender recommended, a tamarind whisky sour, for me.Both were fantastic, to put it delicately. The bartender, I believe his name was Jeff, made our drinks with care and passion. What a great person to welcome me into a new place! He truly is talented at what he does. I would certainly come back just for the drinks and perhaps dessert next time! Highly recommended.",5.0
"There are perhaps 2 schools of thought when it comes to the process of eating:1.  Those who slowly savor each and every tiny little bite.2.  Those who try to jam as much food into their mouth as possible so that their tastebuds are overwhelmed with flavor.  (This is also, coincidentally, a similar trait to that found in crack addicts)I am definitely of the latter school (uhh... not the crack addict part of course *cough cough*).  People often find it embarrassing to sit next to me at a meal... especially at a nice restaurant.  So with that context in mind, let me just say that any meal that can take 3 hrs and not have me feel impatient or bored in between, is a meal deserving of 5 stars.  That meal, was the tasting menu at Dover.7 courses... SEVEN!  With like a million little things in between!  It is definitely a good value for the price, the time and the quality.  Pictures tell a thousand words, but the standout dishes for me were the scallops and the lamb (a substitute that the staff graciously made).I'm glad that this extension of Battersby is living up to the reputation of its beginnings.  It may not have the same intimate atmosphere, but the friendliness of the staff, and the care with which you are served, are impeccable.  The meal was perfectly paced, and it felt like something special.And now I can make reservations online... there goes my bank account.",5.0
"The folks at Dover seems pretty pleased with themselves and I guess it is important that they have their self esteem in place. The food was just ok but the presentation was great, there is  a lot to be said for presentation.     When one of the members of our group inquired about a dessert item the waitress initial tried to fake the description and then came clean by telling us it was a new item and she did not know what it was.    The coffee is lousy (as my Dad would say).  They seemed eager to give us a check on an evening when there were plenty empty tables.   ... And they emphatically do not take American Express cards.",3.0
"Outstanding food.wonderful small plates with in house breads. Four different typesThis was followed by the best paella we have ever had and that includes having this dish in Barcelona. Desert was a knockout. And finally as if I need to say more, the service was warm and professional.",5.0
Dover over the years has maintained an excellent menu with an attentive staff. The noise level however is insufferable. Last night they had ridiculously loud music blaring from crappy speakers. So the screaming at each table had to go up to match. What happened to Dover? It used be a pleasant place for dinner.,3.0
"I sent this note to Dover directly weeks ago and received no response whatsoever, so consumer alert: Dear Dover--On Tuesday evening, my husband and I dined for the first time at Dover. We live in the neighborhood, had heard good things, and were excited to give you a try. The meal was lovely and we left very happy with our experience, but unfortunately later in the night I became extremely ill--nearly ill enough to necessitate a trip to Urgent Care. It was clearly food poisoning and given what I had eaten before dinner/the timing of the illness, it seemed clear I had gotten sick from something consumed while at Dover. My husband and I shared everything except the red snapper dish and he was unaffected, so the snapper seems the likely culprit.Needless to say it was enormously disappointing to be made ill be such a fine and expensive meal, but more than anything I wanted to bring this to your attention to, one hopes, prevent another diner from having the same experience. Please monitor the freshness of your fish more closely. Something was clearly very off.",1.0
