The Food Sermon Kitchen,$$,Crown Heights,"355 Rogers AveBrooklyn, NY 11225",4.5 star rating,96 reviews,/biz/the-food-sermon-kitchen-brooklyn
Ba Xuyen,$,Borough Park,"4222 8th AveBrooklyn, NY 11232",4.5 star rating,448 reviews,/biz/ba-xuyen-brooklyn-2
BeeHive Oven Biscuit Cafe,$$,Williamsburg - South Side,"182 S 2nd StBrooklyn, NY 11211",4.5 star rating,377 reviews,/biz/beehive-oven-biscuit-cafe-brooklyn
Barboncino,$$,Crown Heights,"781 Franklin AveBrooklyn, NY 11238",4.5 star rating,563 reviews,/biz/barboncino-brooklyn
Traif,$$$,Williamsburg - South Side,"229 S 4th StBrooklyn, NY 11211",4.5 star rating,1536 reviews,/biz/traif-brooklyn
Mrs. Dorsey’s Kitchen,$,Prospect Heights,"794 Washington AveBrooklyn, NY 11238",4.5 star rating,152 reviews,/biz/mrs-dorseys-kitchen-brooklyn
Queen of Falafel,$,Bushwick,"2 Wyckoff AvenueBrooklyn, NY 11237",5.0 star rating,48 reviews,/biz/queen-of-falafel-brooklyn
Coney Shack,$,Coney Island,"2909 W 8th StBrooklyn, NY 11224",5.0 star rating,159 reviews,/biz/coney-shack-brooklyn
Wheated,$$,Flatbush,"905 Church AveBrooklyn, NY 11218",4.5 star rating,179 reviews,/biz/wheated-brooklyn
The Blue Light,$,Flatbush,"1118 Cortelyou RdBrooklyn, NY 11218",5.0 star rating,30 reviews,/biz/the-blue-light-brooklyn
Lunitas,$,Clinton Hill,"1039 A Fulton StBrooklyn, NY 11238",4.5 star rating,84 reviews,/biz/lunitas-brooklyn
Mekelburg’s,$$,Clinton Hill,"293 Grand AveBrooklyn, NY 11238",4.5 star rating,67 reviews,/biz/mekelburgs-brooklyn
Werkstatt,$$,Flatbush,"509 Coney Island AveBrooklyn, NY 11218",4.5 star rating,77 reviews,/biz/werkstatt-brooklyn-2
Juliana’s Pizza,$$,DUMBO,"19 Old Fulton StBrooklyn, NY 11201",4.5 star rating,915 reviews,/biz/julianas-pizza-brooklyn-5
Krupa Grocery,$$,Windsor Terrace,"231 Prospect Park WBrooklyn, NY 11215",4.5 star rating,146 reviews,/biz/krupa-grocery-brooklyn
Gratitude Cafe,$$,Prospect Lefferts Gardens,"499 Rogers AveBrooklyn, NY 11225",4.5 star rating,93 reviews,/biz/gratitude-cafe-brooklyn
Di Fara Pizza,$$,Midwood,"1424 Ave JBrooklyn, NY 11230",4.0 star rating,2238 reviews,/biz/di-fara-pizza-brooklyn
The Islands,$$,"Crown Heights, Prospect Heights","803 Washington AveBrooklyn, NY 11238",4.0 star rating,481 reviews,/biz/the-islands-brooklyn-2
The Farm On Adderley,$$,Flatbush,"1108 Cortelyou RdBrooklyn, NY 11218",4.0 star rating,827 reviews,/biz/the-farm-on-adderley-brooklyn
Lot 2,$$,South Slope,"687 6th AveBrooklyn, NY 11215",4.5 star rating,222 reviews,/biz/lot-2-brooklyn-2
Ngon,$,Phone number,"169 Park AveBrooklyn, NY 11205",5.0 star rating,30 reviews,/biz/ngon-brooklyn-3
Macdonough Café,$,Bedford Stuyvesant,"83 Saratoga AveBrooklyn, NY 11233",5.0 star rating,43 reviews,/biz/macdonough-caf%C3%A9-brooklyn-3
Lucha Lucha,$$,Bedford Stuyvesant,"283 Nostrand AveBrooklyn, NY 11216",4.5 star rating,114 reviews,/biz/lucha-lucha-brooklyn-2
Salud Bar & Grill,$$,Bushwick,"1413 Bushwick AveBrooklyn, NY 11207",4.5 star rating,50 reviews,/biz/salud-bar-and-grill-brooklyn
Kofte Piyaz,$,Sunset Park,"881 5th AveBrooklyn, NY 11232",4.5 star rating,136 reviews,/biz/kofte-piyaz-brooklyn
La Cigogne,$$,Carroll Gardens,"215 Union StBrooklyn, NY 11231",4.5 star rating,167 reviews,/biz/la-cigogne-brooklyn
Cafe Mogador,$$,Williamsburg - North Side,"133 Wythe AveBrooklyn, NY 11211",4.5 star rating,608 reviews,/biz/cafe-mogador-brooklyn
The Crabby Shack,$$,Crown Heights,"613 Franklin AveBrooklyn, NY 11238",4.0 star rating,245 reviews,/biz/the-crabby-shack-brooklyn
Brooklyn Ice House,$,Red Hook,"318 Van Brunt StBrooklyn, NY 11231",4.5 star rating,165 reviews,/biz/brooklyn-ice-house-brooklyn
Ringolevio,$$,East Williamsburg,"490 Humboldt StBrooklyn, NY 11222",4.5 star rating,128 reviews,/biz/ringolevio-brooklyn
