"This very unassuming hole in the wall restuarant has a secluded feel to it, with bare brick walls and no windows inside, rustic decor and a simple menu. We came here for a romantic night out and were pleased with the atmosphere allowing for private conversation and intimacy. The menu was as I said simple, but the waiter had a laundry list of about 50 specials and dishes of the day, etc. so keeping track of that was rather confusing and we asked him to repeat himself several times over. The waiter was averagely nice, with an air of pompusness to him, as if he had no time for us. We ordered fried mozzarella as an appetizer, the lobster pasta dish and risotto. The appetizer was delicious, basically a glorified mozzarella stick. Lobster was perfectly cooked but extremely messy to eat because it was slathered in pasta sauce. For a meal that will undoubtedly require hands, it should not have been that messy. We went through four table napkins!! The risotto was aboslutely delicious, perfectly seasoned, yummy meat to go with it. All in all, a very nice dinner. But be careful with the specials- our entire bill was a surpise because we didn't order one thing from the menu.",5.0
"NOT impressed with this place. I love Italian food and I'm always looking to find a cute spot to get real authentic italian. This was truly disappointing. The place had a nice look to it, super cozy and small but it has only about 10 tables maximum.SERVICEA little weird. The waiter was semi standoffish and had a problem controlling his facial expressions. We informed him we didn't want wine and he looked like we just said I hate you. Then when we ordered calamari to split as an appetizer he asked thats it?...followed by another facial expression. However, they were so cheap with the amount I can see why he may have been shocked. Additionally, the waiter barely came around when we needed him.FOODNot that good. The steak was VERY dry and when we asked for steak sauce the waiter didn't know what that was/if they had any-they didn't. I asked for the spinach and ricotta ravioli it was not that great. You get about 6 raviolis I left two of them untouched because of how bland it was. The sauce wasn't that good, the pasta oddly was dry. The total was about 60 for a not so great meal- could be worst. There prices aren't too bad, just not worth it.Bottom line: I would NOT recommend nor would I go back.",3.0
"Came here with a couple of buddies of mine for dinner. They wanted Italian and we ended up finding this spot.Had one of the specials that they mentioned, it was a salmon dish. I wished they had a special menu so you could just easily look it over instead of trying to memorize every dish she memorized. Good piece of salmon topped with sauce and a few pieces of potatoes and broccoli. The waitress also served bread, olive oil, and cheese.They do have a nice wine selection, but they only have a very limited amount of beer to select from. I ended up getting the only IPA that they serve.Overall not bad at all. It did cost $20 for my meal, in my mind I paid a little too much for it. The beer I got costed $8. The waitress also did ask us for more tip money because of the certain tip expectation percentage. This was what left a sour taste in my mouth and would make me reconsider coming back again.",3.0
"I came here at 7 PM after not eating a single thing for the entire day, so if they hadn't done well, I would've really let them have it! But my dinner was excellent. I've walked past PT Restaurant a million times and never tried it. It's also been on my list of bookmarks since the dawn of my Yelp account and every time I walk by, I end up opting for something else in the area. We arrived at a prime dinner time and there were only two other people (at one table) in the entire place. Not the best sign, but at least I knew they'd have no excuse to not be timely with our food. My girlfriend and I split the fried mozzarella antipasti special, she had the spinach and buffalo ricotta ravioli, and then I went for the short ribs entree special. She finished up with dessert here, while I was in the mood for something chocolate and they were fresh out of chocolate, so I passed on the sweets.Fried Mozzarella--pretty good, should be served with a bit more marinara sauce. I have to say when I make my own high-quality fried mozzarella at home, I certainly season it more. This could have used a little more love in the salt and fresh pepper department and maybe they want to sprinkle the cheese with a bit of oregano before they fry it up. Just a thought. Ravioli-- not mine, but absolutely delicious! I had one pasta pocket stuffed with spinach and ricotta, tossed in marinara and it was light, perfectly seasoned, pasta had a great texture. Good thing this is on their regular menu because I definitely will want my own order. Short ribs special-- OMFG. These beer-braised babies were so juicy and so tender (I would've been pissed if you sold me something you claim is braised and it was anything other than fall-off-the-bone). Seasoned very well and served on a small bed of mashed potatoes. They could've thrown me a veggie here, but fine. The potatoes were a  bit scarce, but there was a giant honking amount of beef on the plate, so all is forgiven. I used my butter knife only as a polite formality since we were out in public, but the fork was really all I needed to force the meat to fall off into perfect mouthfuls. Cooked perfectly, had a really nice jus that complemented the whole thing- YUM!My friend ordered a slice of pumpkin cheesecake, which was pretty good, but not my personal cup of tea. I should have come here many years ago, and now that I know, I'll be making at least occasional visits to hear the specials, or grab ravioli. Thanks, PT!",4.0
Good traditional Italian food! Nice ambiance and great service. Are waiter Johnathan was very nice and gave us great recommendations! Pasta was aldente and flavorful. Could use some better dessert options bread pudding was a bit dry.,3.0
"How to fall in love at PT with someone or simply with PT's contemporary Italian fare:Step 1: ""Dress for success."" Or wear something sexy that will stretch easily, and still look good on you after you inhale your spicy lobster pasta dish, a particular fave amongst PT's fans/patrons. My date was planning our second P/T visit while he was still eating this huge dish of pasta (looked like it could feed two), and I nodded in approval, savoring my soft-shell crabs. They were everything you could ask for in a fresh, buttery, sweet soft shell crab. And they were served with broccoli that was married off to garlic and lived happily ever after. Step 2: Go there on July 4th after watching the spectacular fireworks show, and make some fireworks of your own. Not hard to do in PT's quaint, intimate setting perfect for the 3rd or 4th date. The golden lights draped across the wall is my favorite thing about the romantic, rustic, old-world charm of this Williamsburg restaurant.Step 3: If your date is three or more mins late--late is late and three minutes with a near-dead mobile is like an eternity--don't hesitate to ask the waiter/ bartender/manager for anything, really. I couldn't get a signal and my phone was dying quickly, so they offered me the restaurant's phone to call my date. I ordered a glass of white wine during ""the wait,"" and they gave me bread as well, and after my date came they gave us cheese, olives, olive oil and more bread. Simple and standard touches that showed me they put effort in to making their patrons feel as comfy as possible. Step 4: Drink lots of wine. We were enamored with the wine that our server/bartender recommended for us, especially the sizes of the glasses that he poured for us. We couldn't even finish them. My first experience leaving wine on the table. Step 5: Leave PT with a smile, knowing that you'll be back.",5.0
"This place is rated so well on yelp, we thought for sure we were gonna love it. Not just that, you could not find a more cozy spot.  Unfortunately, we had a negative experience here in almost every respect.  First, our order was not put in so the food did not come out until I finally asked someone to check on it.  It took forever.  Second, when the food finally did come out, it was not good.  How bad can chicken parm be?  Well, in this case, pretty bad. I don't know if the chicken was fully cooked.  Despite this, by the time the food came, I was starved and ate more of it than I should have. My gf's pasta was overcooked and just kinda meh. Every restaurant can have an off night, maybe this was the case here.  On a positive note, I can say that the staff was very nice and did not end up charging us for the entrees (just the wine and app).  We won't be back, but based on the yelp reviews, maybe our experience was just a one-off.",2.0
"Spaghetti pomodoro was pretty good -- very clean and fresh tasting.  Most people would probably say it was a little bland even, but I generally enjoy a bit more bland food.  Vongole pasta was decent as well.  The fresh pasta noodles were well cooked to al dente.  Overall food was good, but I wouldn't say this is one of the best Italian in Brooklyn by any means.Service was weird and below par.  When asked for some recommendations on wine, server listed one fairly pricey option, and when prompted for any others, he just stared at me blankly.  Didn't really check up on us or make any real effort during the meal and brought the check without asking about dessert or even clearing our plates, and then claimed someone at the table asked for it when they didn't.  Weirdo. Pretty cool vibe, downstairs cellar.  Dark and intimate, not too loud.",2.0
Super tasty pasta and very decent quantities. Great service and cozy environment. We love it!!,5.0
"The hubby and I came in on a Saturday at 8:30pm. No reservations can be made for a party of two but we were assured we'd be able to be seated without an issue. Indeed the wait was less than 5min.Ambiance: typical Williamsburg spot. Can fit about 20 people. Cozy with dim light Service: excellent - very attentive Food: we had the toast with topping of the day (grilled peppers and caramelized onions) with a salad ($9.50) as an appetizer. We then both had the full lobster and spaghetti (mildly spicy) ($32) Both the appetizer and the main dish were tasty and nice in size.For Desert, we had the bread pudding and ice cream ($8) and the homemade tiramisu ($8). The tiramisu was average, and I wasn't a fan of the bread pudding but my date liked it.Overall it was a pleasant experience and we will most likely be back for the lobster",4.0
