"It's a damn travesty that this place isn't rated higher. So you spoiled wannabe critics have to walk through a quiet and seemingly ""gritty"" area - which by the way is only 2 blocks. Two whole blocks!! Ask the residents of next door Dumbo in their multi-million dollar apartments how ""dangerous"" it is. So you cheapskate wannabe critics want lower prices. How come 3 Star Michelin restaurants can charge an arm and a leg and be located in small remote town in France or Spain but this lovely gem can't have fair pricing in this location?  It has to be cheap because it's not in the UES?And for the pampered wannabe critics who must have their every whim catered to with white glove service. Seriously. What? No complaints about the mismatched rustic furniture or decor? What else do you not like? The waitstaff don't wear uniforms? We've been coming here for years. And we just finished a fantastic brunch - my first brunch here. Everything was superb. The food was just wonderful. The pork and grits- great. The pear sourdough pancake - sublime and possibly the best pancake in Brooklyn.  The lamb shoulder special - so good. We had a lovely stroll through the neighborhood. We were able to take our time to talk and catch up over a meal like real friends. And got to do it all in a non-pretentious restaurant that was great for a small group to just enjoy each other's company on a Saturday afternoon. Almost felt like my own Brooklyn version of a Woody Allen movie (a good one). There's no such thing as perfection. But this place is definitely 5 Star worthy.",5.0
"Now you've done it, Vinegar Hill. I've come here for brunch at least twice a month for the past two years since it's one of the only restaurants within walking distance. Due to location it's overpriced af, but again and again my indolence prevailed over my common sense. Today's brunch was the last straw - my ""seasonal"" pancake (seasonal-my-tuches, it hasn't changed in over a year!) was drowned in cheap sugary maple syrup, and the trout egg benedict was fishy and mediocre. Can someone finally open a decent restaurant in the area, or nah?",2.0
"I have been to VHH twice for brunch, both times I experienced very good service, underwhelming grub, and left with a much lighter wallet. 2.5 stars! Service - friendly as fuc*. Make reservations before coming. Food - the omelette was as dry as a high desert at midnight, while their eggs benedict were nothing to write home about. Also, a small bag of Ruffles with the $17 burger? Someone there should learn how to cook up some damn fries. I can.",3.0
"Amazing brunch experience in DUMBO! Came here after a weekend staycation. A bit off the beaten path from the F train but well worth it! We ordered the pork and grits, the large pear sourdough pancake, and the poached eggs and lamb hash special. Everything was delicious! Will definitely be coming back",5.0
"Gives a vibe of farm to table, supposedly sustainable, but there's nothing sustainable about having only one (mediocre) vegan option on the menu. The server was kind of enough to put in a ""vegan plate"" for me which I was really excited about. What did I get? Inedible vegetables here and there drenched in oil. Yeah, a place that only knows how to cook/use meat/dairy for flavor is totally sustainable as opposed to just eating the grains you feed the animals.",1.0
"Absolutely charming ambiance. Warm. Friendly. Great bar vibe. SO wanted to love it. But the acorn squash was poorly prepared with raw skin and an acrid olive tapenade. And the skirt steak was served rear in 1/2 inch cubes rather than thinly sliced. The side of creamed veggies was served as a slop - running all over the plate - and hideously salty. Just simple stuff - with short cuts and the ""we're cool and  don't need to take care like we used to"". A shame. $141 for one app, one entree and cornbread (with a huge dollop of butter drenching it) plus a decent bottle of Greek red wine. Will NOT be back.",2.0
"I came to this place with such high expectations and maybe that was my first mistake.  First of all, like some of the other reviewers state, this place is really in the middle of nowhere.  I don't often feel unsafe in NYC, but walking to this place, there are no other people are and it's totally desolate.  I kept thinking to myself, I could get mugged out here and no one would know...anyway once I got that out of my mind, we found the place and it is cozy and cute.It's highly rated on foursquare (and maybe that was a red flag too...) so we went in and were excited that we could get a seat at the bar without a wait.  The bartender seemed overwhelmed even though the bar wasn't that busy, and it took her a while to make our drinks and take our orders.  We weren't in a hurry and this only bothered me a little, but what came next is what I can't overlook.We ordered the corn bread, a salad, a pasta and the cast iron chicken.  It took FOREVER.  Almost 30 minutes from when we ordered for our salad to come out.  It was over dressed and soggy.  SO disappointing.  The flavors made sense together, but whatever dressing was on it was so over powering.  We didn't say anything though, since we were STARVING.  Another 15 minutes later, the  corn bread came out and it was completely BURNT.  So burnt that we couldn't even get them out of the pan.  So burnt that the bottom was hard and difficult to bite through.  We had to send it back because it was inedible.  Wanna know the response we got?  They couldn't guarantee that it wouldn't come out burnt again.  Um...ok?  What am I supposed to do with that information?  Are you telling me that we shouldn't have ordered it?  We were totally confused.We waited very PATIENTLY for them to come out again and the second time around, they were able to get it right.  The corn bread was good.  Not great, but good.The pasta dish was the ravioli and the flavors were a little strange and the portion was small.  The chicken?  Forget it.  It was so basic and came with basically nothing else except for a couple of oven cooked onions.  It was nothing special and frankly, despite all the sauce in the pan, it was kind of dry.  AND it was expensive!  $26 for two little pieces of undressed chicken in a cast iron pan...So, all in all, this place is out of the way, overpriced, the service leaves a lot of be desired and the food is nothing new.  I won't be back.",2.0
"If you're walking around starving in this neighborhood, you'll likely pass Vinegar Hill with its unrecognizable speak-easy'esque storefront. Upon entry to the quaint and cozy restaurant, the copper topped bar is turning out both classic manhattans and signature cocktails. The Pink Moon is a Vinegar Hill stand out as a spicy twist on a margarita with cucumber and hints of chili pepper.I tasted the Tagliatelle with a pork ragu. Hints of creme, fresh pasta, and a beautifully done pulled pork seal the deal on this dish although the saltiness is a bit overpowering. The fennel salad is absolutely flawless and the shaved pears will make grown men weep with tears of joy.After asking about how the steak was prepared and requesting the au jus on the side, I was a bit disappointed in the presentation of the steak. This was not because it wasn't cooked and presented nicely, but because it wasn't as described and the portion size of 5-6oz's simply doesn't do much to satisfy a grown mans appetite.I will surely visit Vinegar Hill house again, but will stick to the cast iron chicken next time as this really was the best of the bunch of entree's we had on the table.If you're looking to escape the beard bar restaurants of Williamsburg and want to take a walk on the river front of DUMBO, make Vinegar Hill the final stop on your night on the town.",4.0
"Delicious brunch food in a fantastic setting located in an idyllic corner of Brooklyn. I've tried the eggs benedict, biscuit sandwich, the maple cured slab bacon and the roasted potatoes, sour cream and pickled jalapenos.  Warm, friendly service complements the food.",5.0
"I love this place, not sure why it only has 3 stars but I think it's great. The food is simple but very well prepared so the natural flavors of your meal can shine through. They have a gorgeous backyard garden that's great for date night and I saw Jonah hill and Alia Shawkat when I was there last time! Food:- cornbread: a must get, it's sweet and moist with a pat of butter on top that's just the right amount of salty. The jalapeño adds a great tang- burrata: SO creamy! I wanted a second order. The onions with it were very well cooked as well- tequila cured fluke: not a very large portion but deeeelicious. The fluke was tender, not too fishy and zesty from the tequila lime. The yucca chips were very crunchy, which was a good texture mix up and cucumbers were nice and refreshing, great to eat with a small piece of jalapeño - tagliatelle: my boyfriend ordered and I had a bite. The ricotta was unreal. The ragu was with pork and I don't eat it so I can't attest to that but he said it was pretty good",4.0
